city,pollutant,year,expected_hours,rows_in_file,non_null_readings,pct_missing,min_value,max_value,n_impossible,pct_impossible_of_readings
Delhi,Benzene,2019,8760,8760,8760,0.0,0.44,17.82,0,0.0
Delhi,Benzene,2020,4369,4369,4369,0.0,0.49,16.08,0,0.0
Delhi,CO,2015,8759,8759,8667,1.05,0.0,47.42,0,0.0
Delhi,CO,2016,8784,8784,8512,3.1,0.0,39.9,0,0.0
Delhi,CO,2017,8760,8760,8760,0.0,0.0,8.4,0,0.0
Delhi,CO,2018,8760,8760,8760,0.0,0.34,5.32,0,0.0
Delhi,CO,2019,8760,8760,8760,0.0,0.44,5.58,0,0.0
Delhi,CO,2020,4369,4369,4369,0.0,0.41,5.95,0,0.0
Delhi,NH3,2015,8759,8759,8688,0.81,2.86,485.52,0,0.0
Delhi,NH3,2016,8784,8784,8429,4.04,1.38,187.16,0,0.0
Delhi,NH3,2017,8760,8760,8206,6.32,0.57,245.56,0,0.0
Delhi,NH3,2018,8760,8760,8760,0.0,14.09,130.86,0,0.0
Delhi,NH3,2019,8760,8760,8760,0.0,13.09,84.57,0,0.0
Delhi,NH3,2020,4369,4369,4369,0.0,18.84,78.57,0,0.0
Delhi,NO,2015,8759,8759,8758,0.01,1.49,332.45,0,0.0
Delhi,NO,2016,8784,8784,8748,0.41,0.64,497.4,0,0.0
Delhi,NO,2017,8760,8760,8499,2.98,0.05,481.28,0,0.0
Delhi,NO,2018,8760,8760,8760,0.0,4.16,247.23,0,0.0
Delhi,NO,2019,8760,8760,8760,0.0,2.97,270.4,0,0.0
Delhi,NO,2020,4369,4369,4369,0.0,3.57,215.96,0,0.0
Delhi,NO2,2015,8759,8759,8759,0.0,2.66,201.52,0,0.0
Delhi,NO2,2016,8784,8784,8711,0.83,3.99,295.84,0,0.0
Delhi,NO2,2017,8760,8760,8503,2.93,4.9,337.82,0,0.0
Delhi,NO2,2018,8760,8760,8760,0.0,12.79,167.76,0,0.0
Delhi,NO2,2019,8760,8760,8760,0.0,15.26,188.27,0,0.0
Delhi,NO2,2020,4369,4369,4369,0.0,10.22,116.05,0,0.0
Delhi,NOx,2015,8759,8759,8757,0.02,7.69,433.78,0,0.0
Delhi,NOx,2016,8784,8784,8761,0.26,0.0,363.36,0,0.0
Delhi,NOx,2017,8760,8760,8760,0.0,0.0,209.68,0,0.0
Delhi,NOx,2018,8760,8760,8760,0.0,0.0,259.58,0,0.0
Delhi,NOx,2019,8760,8760,8760,0.0,13.97,303.06,0,0.0
Delhi,NOx,2020,4369,4369,4369,0.0,8.72,238.12,0,0.0
Delhi,O3,2015,8759,8759,8744,0.17,0.06,288.42,0,0.0
Delhi,O3,2016,8784,8784,8674,1.25,0.64,497.62,0,0.0
Delhi,O3,2017,8760,8760,6684,23.7,3.65,164.53,0,0.0
Delhi,O3,2018,8760,8760,8760,0.0,8.73,133.25,0,0.0
Delhi,O3,2019,8760,8760,8760,0.0,11.32,141.06,0,0.0
Delhi,O3,2020,4369,4369,4369,0.0,9.31,123.5,0,0.0
Delhi,PM10,2015,8759,8759,8459,3.43,6.98,976.99,0,0.0
Delhi,PM10,2016,8784,8784,8279,5.75,5.11,999.75,0,0.0
Delhi,PM10,2017,8760,8760,7144,18.45,2.99,978.97,0,0.0
Delhi,PM10,2018,8760,8760,8760,0.0,12.96,873.23,0,0.0
Delhi,PM10,2019,8760,8760,8760,0.0,8.38,1000.0,0,0.0
Delhi,PM10,2020,4369,4369,4369,0.0,14.07,703.92,0,0.0
Delhi,PM2.5,2015,8759,8759,8735,0.27,10.17,533.21,0,0.0
Delhi,PM2.5,2016,8784,8784,8708,0.87,7.18,882.0,0,0.0
Delhi,PM2.5,2017,8760,8760,8485,3.14,0.05,938.5,0,0.0
Delhi,PM2.5,2018,8760,8760,8760,0.0,10.55,682.16,0,0.0
Delhi,PM2.5,2019,8760,8760,8760,0.0,7.47,847.97,0,0.0
Delhi,PM2.5,2020,4369,4369,4369,0.0,7.43,611.38,0,0.0
Delhi,SO2,2015,8759,8759,8754,0.06,0.16,112.67,0,0.0
Delhi,SO2,2016,8784,8784,8698,0.98,0.28,187.05,0,0.0
Delhi,SO2,2017,8760,8760,5999,31.52,0.02,131.26,0,0.0
